报告编码,医院_伤害,医院_伤害_input,医院_伤害表现,医院_器械故障表现,医院_使用过程,医院_事件原因分析,医院_事件原因分析描述,企业_伤害表现,企业_伤害_input,企业_器械故障表现,企业_使用过程,企业_事件原因分析
1141408142025000133,其他,[CLS]无[SEP]故障6[SEP]使用中显示故障6拆开释放压力传感器压力恢复[SEP],无,故障6,使用中显示故障6拆开释放压力传感器压力恢复,产品原因（包括说明书等）,使用频率高,无,[CLS]无[SEP]故障6[SEP]使用中显示故障6拆开释放压力传感器压力恢复[SEP],故障6,使用中显示故障6拆开释放压力传感器压力恢复,分析故障发现的原因可能为设备经频繁临床搬动与转运受到跌宕震动内部压力传感器排线插头松动导致压力值信号传输异常从而发出报警
1376108032025000798,其他,[CLS]无[SEP]离合器捏柄断裂[SEP]9月19日上午护士巡查病房时发现该设备离合器捏柄断裂无法使用立即报器械科维修[SEP],无,离合器捏柄断裂,9月19日上午护士巡查病房时发现该设备离合器捏柄断裂无法使用立即报器械科维修,产品原因（包括说明书等）,该设备离合器捏柄断裂,无,[CLS]无[SEP]离合器捏柄断裂[SEP]9月19日上午护士巡查病房时发现该设备离合器捏柄断裂无法使用立即报器械科维修[SEP],离合器捏柄断裂,9月19日上午护士巡查病房时发现该设备离合器捏柄断裂无法使用立即报器械科维修,由于该设备已使用9年多属于超期使用状态长期临床使用频繁捏合捏柄导致捏柄材质老化开裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后无法调节离合器位置导致该通道无法使用
1294425602025000837,其他,[CLS]null[SEP]D020208_推进失效[SEP]麻醉医生在术前药物准备过程中发现注射泵报警离合未闭多次重启和重新防止注射器均无法消除停用该设备使用备用注射泵[SEP],null,D020208_推进失效,麻醉医生在术前药物准备过程中发现注射泵报警离合未闭多次重启和重新防止注射器均无法消除停用该设备使用备用注射泵,产品原因（包括说明书等）,设备推杆传感器故障,null,[CLS]null[SEP]D020208_推进失效[SEP]麻醉医生在术前药物准备过程中发现注射泵报警离合未闭多次重启和重新防止注射器均无法消除停用该设备使用备用注射泵[SEP],D020208_推进失效,麻醉医生在术前药物准备过程中发现注射泵报警离合未闭多次重启和重新防止注射器均无法消除停用该设备使用备用注射泵,根据设备使用情况分析问题发生的原因为生产过程中内部FPC线未固定牢固在频繁的临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
1141408142025000137,其他,[CLS]无[SEP]三维器未顶紧[SEP]上泵显示三维器未顶紧[SEP],无,三维器未顶紧,上泵显示三维器未顶紧,产品原因（包括说明书等）,不确定,无,[CLS]无[SEP]三维器未顶紧[SEP]上泵显示三维器未顶紧[SEP],三维器未顶紧,上泵显示三维器未顶紧,分析问题发生的原因可能为生产过程中内部FPC线未固定牢固在临床搬运过程中产生晃动FPC线与周围电路板摩擦导致磨损而FPC线是负责传递离合检测信号损坏后造成检测信号中断从而发生报警
1294419292025000359,其他,[CLS]null[SEP]开机出现故障报警[SEP]2025年8月28日0900医护人员检查发现该注射泵出现故障送到设备科检修[SEP],null,开机出现故障报警,2025年8月28日0900医护人员检查发现该注射泵出现故障送到设备科检修,产品原因（包括说明书等）,经检查发现是针筒推杆模块连接排线故障,null,[CLS]null[SEP]开机出现故障报警[SEP]2025年8月28日0900医护人员检查发现该注射泵出现故障送到设备科检修[SEP],开机出现故障报警,2025年8月28日0900医护人员检查发现该注射泵出现故障送到设备科检修,该设备已使用12年有余处于超期使用状态长期临床使用导致内部FPC线老化破损无法正常传递检测信号引发报警提示设备无法运行
1253717032025000671,其他,[CLS]无[SEP]注射器夹持器坏[SEP]20250826科室人员检查设备时发现夹持器断裂报设备科维修维修人员现场检查夹持器断裂无法加持注射器推杆没有给患者造成不良现象[SEP],无,注射器夹持器坏,20250826科室人员检查设备时发现夹持器断裂报设备科维修维修人员现场检查夹持器断裂无法加持注射器推杆没有给患者造成不良现象,无法确定,推杆夹持器断裂原因不详,无,[CLS]无[SEP]注射器夹持器坏[SEP]20250826科室人员检查设备时发现夹持器断裂报设备科维修维修人员现场检查夹持器断裂无法加持注射器推杆没有给患者造成不良现象[SEP],注射器夹持器坏,20250826科室人员检查设备时发现夹持器断裂报设备科维修维修人员现场检查夹持器断裂无法加持注射器推杆没有给患者造成不良现象,长期临床使用频繁捏合捏柄导致捏柄材质老化开裂而捏柄是固定注射器推杆尾端的装置部件之一控制注射泵的注射器夹张开与闭合当其损伤后固定注射器
1376104002025000355,其他,[CLS]延误治疗[SEP]泵速不准[SEP]2025年8月27日护士在使用注射泵向患者注射时发现注射泵泵速不准立即停止使用并更换设备联系医学装备部处理[SEP],延误治疗,泵速不准,2025年8月27日护士在使用注射泵向患者注射时发现注射泵泵速不准立即停止使用并更换设备联系医学装备部处理,产品原因（包括说明书等）,操作规范正确出现泵速不准的情况判定为产品自身原因,延误治疗,[CLS]延误治疗[SEP]泵速不准[SEP]2025年8月27日护士在使用注射泵向患者注射时发现注射泵泵速不准立即停止使用并更换设备联系医学装备部处理[SEP],泵速不准,2025年8月27日护士在使用注射泵向患者注射时发现注射泵泵速不准立即停止使用并更换设备联系医学装备部处理,医院长期未进行注射器校准设备内存储的注射器参数与实际注射器参数不一致导致实际流速与设定流不一致
1253707112025000466,其他,[CLS]M2101_非预期的治疗效果[SEP]警示灯报警[SEP]2025年8月31日责任护士在巡视病房时发现3床注射泵警示灯闪烁提示离合未必责任护士发现注射泵离合未松动反复调整后未见能正常使用立即更换新的注射泵现使用状况良好如不及时更换注射泵可能会造成严重影响[SEP],M2101_非预期的治疗效果,警示灯报警,2025年8月31日责任护士在巡视病房时发现3床注射泵警示灯闪烁提示离合未必责任护士发现注射泵离合未松动反复调整后未见能正常使用立即更换新的注射泵现使用状况良好如不及时更换注射泵可能会造成严重影响,产品原因（包括说明书等）,获悉不良事件信息后根据事件描述确认该问题为注射泵离合问题设备科进行了追溯未发现明显异常对问题产生的原因进行查找并制定控制措施,M2101_非预期的治疗效果,[CLS]M2101_非预期的治疗效果[SEP]警示灯报警[SEP]2025年8月31日责任护士在巡视病房时发现3床注射泵警示灯闪烁提示离合未必责任护士发现注射泵离合未松动反复调整后未见能正常使用立即更换新的注射泵现使用状况良好如不及时更换注射泵可能会造成严重影响[SEP],警示灯报警,2025年8月31日责任护士在巡视病房时发现3床注射泵警示灯闪烁提示离合未必责任护士发现注射泵离合未松动反复调整后未见能正常使用立即更换新的注射泵现使用状况良好如不及时更换注射泵可能会造成严重影响,1该事件院方上报为严重伤害经调查为设备在使用过程中持续报警并停止工作造成延缓治疗但伤害程度未达到严重伤害的定义危及生命导致机体功能的永久性伤害或者机体结构的永久性损伤以及需采取医疗措施才能避免上述永久性伤害或者损伤因此我司建议将伤害程序修改为其他2该设备已使用7年多已超过产品设计使用期限长期临床使用导致内部FPC线老化损伤无法正常传递检测信号引发报警提示设备无法运行
1141408142025000116,其他,[CLS]无[SEP]开不了机[SEP]机器在开机检查时发现电源开不了后送往设备科维修[SEP],无,开不了机,机器在开机检查时发现电源开不了后送往设备科维修,产品原因（包括说明书等）,使用频率高,无,[CLS]无[SEP]开不了机[SEP]机器在开机检查时发现电源开不了后送往设备科维修[SEP],开不了机,机器在开机检查时发现电源开不了后送往设备科维修,分析故障发生的原因可能为电源板上的元器件针脚焊接不牢当设备受到剧烈的震动出现虚焊的情况电源板是设备的供电模块为设备传递电量当发生故障时无法将交流电或电池电量传递给设备导致设备无法正常开机
1376108032025000667,其他,[CLS]无[SEP]开机后自动停止[SEP]8月7日护士准备为患儿注射药物时开机后注射泵自动停机无法使用及时更换并立即报器械科维修组维修[SEP],无,开机后自动停止,8月7日护士准备为患儿注射药物时开机后注射泵自动停机无法使用及时更换并立即报器械科维修组维修,产品原因（包括说明书等）,多考虑1产品本身存在缺陷2操作人员未按产品说明书对产品进行维护和保养,无,[CLS]无[SEP]开机后自动停止[SEP]8月7日护士准备为患儿注射药物时开机后注射泵自动停机无法使用及时更换并立即报器械科维修组维修[SEP],开机后自动停止,8月7日护士准备为患儿注射药物时开机后注射泵自动停机无法使用及时更换并立即报器械科维修组维修,由于该设备已使用7年多处于超预期使用状态长期临床使用导致内部FPC线老化损伤无法正常传递检测信号引发报警提示设备无法运行
